month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
1,15,1,,,,,,,,,5.06
1,15,1,,,,,,,,,4.145
1,15,1,,,,,,,,,3.955
1,16,1,,,,,,,,,2.85
1,16,1,,,,,,,,,0.8375
1,16,1,,,,,,,,,3.0175
1,16,1,,,,,,,,,2.7225
1,17,1,,,,,,,,,2.105
1,17,1,,,,,,,,,1.365
1,17,1,,,,,,,,,0.565
1,17,1,,,,,,,,,0.335
1,18,1,,,,,,,,,0.3175
1,18,1,,,,,,,,,0.135
1,18,1,,,,,,,,,0.0125
1,18,1,,,,,,,,,0.0
1,19,1,,,,,,,,,0.0
1,19,1,,,,,,,,,0.0
1,19,1,,,,,,,,,0.0
1,19,1,,,,,,,,,0.0
1,20,1,,,,,,,,,0.0
1,20,1,,,,,,,,,0.0
1,20,1,,,,,,,,,0.0
1,20,1,,,,,,,,,0.0
1,21,1,,,,,,,,,0.0
1,21,1,,,,,,,,,0.0
1,21,1,,,,,,,,,0.0
1,21,1,,,,,,,,,0.0
1,22,1,,,,,,,,,0.0
1,22,1,,,,,,,,,0.0
1,22,1,,,,,,,,,0.0
1,22,1,,,,,,,,,0.0
1,23,1,,,,,,,,,0.0
1,23,1,,,,,,,,,0.0
1,23,1,,,,,,,,,0.0
1,23,1,,,,,,,,,0.0
1,24,1,,,,,,,,,0.0
1,24,1,,,,,,,,,0.0
1,24,1,,,,,,,,,0.0
1,24,1,,,,,,,,,0.0
1,1,2,,,,,,,,,0.0
1,1,2,,,,,,,,,0.0
1,1,2,,,,,,,,,0.0
1,1,2,,,,,,,,,0.0
1,2,2,,,,,,,,,0.0
1,2,2,,,,,,,,,0.0
1,2,2,,,,,,,,,0.0
1,2,2,,,,,,,,,0.0
1,3,2,,,,,,,,,0.0
1,3,2,,,,,,,,,0.0
1,3,2,,,,,,,,,0.0
1,3,2,,,,,,,,,0.0
1,4,2,,,,,,,,,0.0
1,4,2,,,,,,,,,0.0
1,4,2,,,,,,,,,0.0
1,4,2,,,,,,,,,0.0
1,5,2,,,,,,,,,0.0
1,5,2,,,,,,,,,0.0
1,5,2,,,,,,,,,0.0
1,5,2,,,,,,,,,0.0
1,6,2,,,,,,,,,0.0
1,6,2,,,,,,,,,0.0
1,6,2,,,,,,,,,0.0
1,6,2,,,,,,,,,0.0
1,7,2,,,,,,,,,0.0
1,7,2,,,,,,,,,0.0
1,7,2,,,,,,,,,0.0
1,7,2,,,,,,,,,0.0
1,8,2,,,,,,,,,0.0
1,8,2,,,,,,,,,0.0
1,8,2,,,,,,,,,0.0
1,8,2,,,,,,,,,0.0
1,9,2,,,,,,,,,0.0
1,9,2,,,,,,,,,0.0
1,9,2,,,,,,,,,0.0275
1,9,2,,,,,,,,,0.085
1,10,2,,,,,,,,,0.0675
1,10,2,,,,,,,,,0.1075
1,10,2,,,,,,,,,0.19
1,10,2,,,,,,,,,0.3
1,11,2,,,,,,,,,0.3475
1,11,2,,,,,,,,,0.425
1,11,2,,,,,,,,,0.68
1,11,2,,,,,,,,,0.6475
1,12,2,,,,,,,,,0.685
1,12,2,,,,,,,,,0.54
1,12,2,,,,,,,,,0.3875
1,12,2,,,,,,,,,0.595
1,13,2,,,,,,,,,0.4925
1,13,2,,,,,,,,,0.37
1,13,2,,,,,,,,,0.54
1,13,2,,,,,,,,,0.2775
1,14,2,,,,,,,,,0.2375
1,14,2,,,,,,,,,0.3925
1,14,2,,,,,,,,,0.3275
1,14,2,,,,,,,,,0.295
1,15,2,,,,,,,,,0.2075
1,15,2,,,,,,,,,0.2775
1,15,2,,,,,,,,,0.25
1,15,2,,,,,,,,,0.27
1,16,2,,,,,,,,,0.265
1,16,2,,,,,,,,,0.165
1,16,2,,,,,,,,,0.205
1,16,2,,,,,,,,,0.1975
1,17,2,,,,,,,,,0.3025
1,17,2,,,,,,,,,0.4475
1,17,2,,,,,,,,,0.29
1,17,2,,,,,,,,,0.29
1,18,2,,,,,,,,,0.145
1,18,2,,,,,,,,,0.0325
1,18,2,,,,,,,,,0.0
1,18,2,,,,,,,,,0.0
1,19,2,,,,,,,,,0.0
1,19,2,,,,,,,,,0.0
1,19,2,,,,,,,,,0.0
1,19,2,,,,,,,,,0.0
