timestamp,Net Electricity Consumption-kWh,Non-shiftable Load-kWh,Non-shiftable Load Electricity Consumption-kWh,Energy Production from PV-kWh
2025-02-10T06:45:00,4.4041666984558105,4.75,4.75,-0.34583333134651184
2025-02-10T07:00:00,5.226666450500488,5.5,5.5,-0.273333340883255
2025-02-10T07:15:00,6.624166488647461,7.0,7.0,-0.37583333253860474
2025-02-10T07:30:00,6.569166660308838,7.0,7.0,-0.4308333396911621
2025-02-10T07:45:00,5.585833549499512,6.0,6.0,-0.414166659116745
2025-02-10T08:00:00,5.12333345413208,5.5,5.5,-0.3766666650772095
2025-02-10T08:15:00,5.0991668701171875,5.5,5.5,-0.4008333384990692
2025-02-10T08:30:00,5.388333320617676,6.034999847412109,6.034999847412109,-0.6466666460037231
2025-02-10T08:45:00,3.8891665935516357,5.059999942779541,5.059999942779541,-1.1708333492279053
2025-02-10T09:00:00,4.875833511352539,5.59250020980835,5.59250020980835,-0.7166666388511658
2025-02-10T09:15:00,5.110833168029785,6.147500038146973,6.147500038146973,-1.0366666316986084
2025-02-10T09:30:00,4.0333333015441895,4.742499828338623,4.742499828338623,-0.7091666460037231
2025-02-10T09:45:00,6.715000152587891,7.537499904632568,7.537499904632568,-0.8224999904632568
2025-02-10T10:00:00,6.945833683013916,7.570000171661377,7.570000171661377,-0.6241666674613953
2025-02-10T10:15:00,6.0933332443237305,6.877500057220459,6.877500057220459,-0.784166693687439
2025-02-10T10:30:00,5.130833148956299,6.042500019073486,6.042500019073486,-0.9116666913032532
2025-02-10T10:45:00,6.712499618530273,7.742499828338623,7.742499828338623,-1.0299999713897705
2025-02-10T11:00:00,4.454166889190674,6.130000114440918,6.130000114440918,-1.6758333444595337
2025-02-10T11:15:00,3.924999952316284,6.202499866485596,6.202499866485596,-2.2774999141693115
2025-02-10T11:30:00,4.111666679382324,6.15500020980835,6.15500020980835,-2.0433332920074463
2025-02-10T11:45:00,3.3449997901916504,5.702499866485596,5.702499866485596,-2.3575000762939453
2025-02-10T12:00:00,4.737499713897705,6.307499885559082,6.307499885559082,-1.5700000524520874
2025-02-10T12:15:00,3.4183335304260254,5.212500095367432,5.212500095367432,-1.7941666841506958
2025-02-10T12:30:00,3.187500238418579,4.635000228881836,4.635000228881836,-1.4474999904632568
2025-02-10T12:45:00,4.570833206176758,6.179999828338623,6.179999828338623,-1.6091666221618652
2025-02-10T13:00:00,4.387499809265137,5.552499771118164,5.552499771118164,-1.1649999618530273
2025-02-10T13:15:00,5.515833377838135,6.724999904632568,6.724999904632568,-1.2091666460037231
2025-02-10T13:30:00,3.74833345413208,4.942500114440918,4.942500114440918,-1.194166660308838
2025-02-10T13:45:00,3.060833215713501,4.347499847412109,4.347499847412109,-1.2866666316986084
2025-02-10T14:00:00,2.2883334159851074,4.147500038146973,4.147500038146973,-1.8591666221618652
2025-02-10T14:15:00,3.674166679382324,6.130000114440918,6.130000114440918,-2.4558334350585938
2025-02-10T14:30:00,5.832499980926514,7.940000057220459,7.940000057220459,-2.1075000762939453
2025-02-10T14:45:00,1.9500000476837158,4.309999942779541,4.309999942779541,-2.359999895095825
2025-02-10T15:00:00,4.015833377838135,5.559999942779541,5.559999942779541,-1.5441666841506958
2025-02-10T15:15:00,4.277500152587891,6.022500038146973,6.022500038146973,-1.7450000047683716
2025-02-10T15:30:00,4.848333358764648,6.215000152587891,6.215000152587891,-1.3666666746139526
2025-02-10T15:45:00,4.8466668128967285,6.110000133514404,6.110000133514404,-1.2633333206176758
2025-02-10T16:00:00,4.480833053588867,5.372499942779541,5.372499942779541,-0.8916666507720947
2025-02-10T16:15:00,5.441666603088379,6.275000095367432,6.275000095367432,-0.8333333134651184
2025-02-10T16:30:00,5.834166526794434,6.597499847412109,6.597499847412109,-0.7633333206176758
2025-02-10T16:45:00,5.147500038146973,6.019999980926514,6.019999980926514,-0.8725000023841858
2025-02-10T17:00:00,6.567500114440918,8.050000190734863,8.050000190734863,-1.4824999570846558
2025-02-10T17:15:00,6.229999542236328,8.28499984741211,8.28499984741211,-2.055000066757202
2025-02-10T17:30:00,6.255000114440918,7.727499961853027,7.727499961853027,-1.472499966621399
2025-02-10T17:45:00,6.358333587646484,7.567500114440918,7.567500114440918,-1.2091666460037231
2025-02-10T18:00:00,5.4066667556762695,6.264999866485596,6.264999866485596,-0.8583333492279053
2025-02-10T18:15:00,6.242499828338623,7.0,7.0,-0.7574999928474426
2025-02-10T18:30:00,6.261666774749756,7.0,7.0,-0.7383333444595337
2025-02-10T18:45:00,6.4633331298828125,7.25,7.25,-0.7866666913032532
2025-02-10T19:00:00,6.209166526794434,6.75,6.75,-0.5408333539962769
2025-02-10T19:15:00,5.824999809265137,6.25,6.25,-0.42500001192092896
2025-02-10T19:30:00,5.71750020980835,6.0,6.0,-0.2824999988079071
2025-02-10T19:45:00,6.743333339691162,7.0,7.0,-0.2566666603088379
2025-02-10T20:00:00,6.066666603088379,6.25,6.25,-0.18333333730697632
2025-02-10T20:15:00,6.821666717529297,7.0,7.0,-0.1783333271741867
2025-02-10T20:30:00,6.674166679382324,6.75,6.75,-0.07583333551883698
2025-02-10T20:45:00,6.727499961853027,6.75,6.75,-0.02250000089406967
2025-02-10T21:00:00,5.244999885559082,5.25,5.25,-0.004999999888241291
2025-02-10T21:15:00,5.0,5.0,5.0,-0.0
2025-02-10T21:30:00,5.5,5.5,5.5,-0.0
2025-02-10T21:45:00,5.25,5.25,5.25,-0.0
2025-02-10T22:00:00,6.0,6.0,6.0,-0.0
2025-02-10T22:15:00,6.5,6.5,6.5,-0.0
2025-02-10T22:30:00,7.0,7.0,7.0,-0.0
2025-02-10T22:45:00,7.0,7.0,7.0,-0.0
2025-02-10T23:00:00,7.25,7.25,7.25,-0.0
2025-02-10T23:15:00,7.5,7.5,7.5,-0.0
2025-02-10T23:30:00,7.25,7.25,7.25,-0.0
2025-02-10T23:45:00,6.25,6.25,6.25,-0.0
2025-02-11T00:00:00,4.25,4.25,4.25,-0.0
2025-02-11T00:15:00,2.75,2.75,2.75,-0.0
2025-02-11T00:30:00,3.0,3.0,3.0,-0.0
2025-02-11T00:45:00,2.5,2.5,2.5,-0.0
2025-02-11T01:00:00,2.5,2.5,2.5,-0.0
2025-02-11T01:15:00,2.75,2.75,2.75,-0.0
2025-02-11T01:30:00,2.75,2.75,2.75,-0.0
2025-02-11T01:45:00,2.75,2.75,2.75,-0.0
2025-02-11T02:00:00,3.0,3.0,3.0,-0.0
2025-02-11T02:15:00,2.75,2.75,2.75,-0.0
2025-02-11T02:30:00,3.0,3.0,3.0,-0.0
2025-02-11T02:45:00,3.25,3.25,3.25,-0.0
2025-02-11T03:00:00,3.5,3.5,3.5,-0.0
2025-02-11T03:15:00,3.75,3.75,3.75,-0.0
2025-02-11T03:30:00,3.5,3.5,3.5,-0.0
2025-02-11T03:45:00,3.5,3.5,3.5,-0.0
2025-02-11T04:00:00,3.25,3.25,3.25,-0.0
2025-02-11T04:15:00,3.0,3.0,3.0,-0.0
2025-02-11T04:30:00,2.25,2.25,2.25,-0.0
2025-02-11T04:45:00,2.243333339691162,2.25,2.25,-0.006666666828095913
2025-02-11T05:00:00,2.4633333683013916,2.5,2.5,-0.036666665226221085
2025-02-11T05:15:00,2.672499895095825,2.75,2.75,-0.07750000059604645
2025-02-11T05:30:00,2.633333444595337,2.75,2.75,-0.11666666716337204
2025-02-11T05:45:00,3.111666679382324,3.25,3.25,-0.13833333551883698
2025-02-11T06:00:00,3.380833387374878,3.5,3.5,-0.11916666477918625
2025-02-11T06:15:00,3.363333225250244,3.5,3.5,-0.1366666704416275
2025-02-11T06:30:00,3.5999999046325684,3.75,3.75,-0.15000000596046448
2025-02-11T06:45:00,3.6475000381469727,3.75,3.75,-0.10249999910593033
2025-02-11T07:00:00,4.488333225250244,4.75,4.75,-0.2616666555404663
2025-02-11T07:15:00,5.954166889190674,6.25,6.25,-0.2958333194255829
2025-02-11T07:30:00,5.255833148956299,5.5,5.5,-0.24416667222976685
2025-02-11T07:45:00,4.776666641235352,5.019999980926514,5.019999980926514,-0.2433333396911621
2025-02-11T08:00:00,5.110000133514404,5.360000133514404,5.360000133514404,-0.25
2025-02-11T08:15:00,5.863333225250244,6.232500076293945,6.232500076293945,-0.36916667222976685
2025-02-11T08:30:00,5.231666564941406,5.599999904632568,5.599999904632568,-0.3683333396911621
2025-02-11T08:45:00,4.924166679382324,5.414999961853027,5.414999961853027,-0.4908333420753479
2025-02-11T09:00:00,6.079166889190674,6.607500076293945,6.607500076293945,-0.528333306312561
2025-02-11T09:15:00,6.1558332443237305,6.659999847412109,6.659999847412109,-0.5041666626930237
2025-02-11T09:30:00,6.011666297912598,6.699999809265137,6.699999809265137,-0.6883333325386047
2025-02-11T09:45:00,5.517499923706055,6.557499885559082,6.557499885559082,-1.0399999618530273
2025-02-11T10:00:00,6.454999923706055,7.284999847412109,7.284999847412109,-0.8299999833106995
2025-02-11T10:15:00,4.894999980926514,5.637499809265137,5.637499809265137,-0.7425000071525574
2025-02-11T10:30:00,5.361666679382324,5.982500076293945,5.982500076293945,-0.6208333373069763
2025-02-11T10:45:00,4.446666717529297,4.960000038146973,4.960000038146973,-0.5133333206176758
2025-02-11T11:00:00,4.6483330726623535,5.139999866485596,5.139999866485596,-0.49166667461395264
2025-02-11T11:15:00,8.91333293914795,9.625,9.625,-0.7116666436195374
2025-02-11T11:30:00,6.025833606719971,6.755000114440918,6.755000114440918,-0.7291666865348816
2025-02-11T11:45:00,5.65749979019165,6.557499885559082,6.557499885559082,-0.8999999761581421
2025-02-11T12:00:00,5.605833053588867,6.477499961853027,6.477499961853027,-0.871666669845581
2025-02-11T12:15:00,5.7216668128967285,6.602499961853027,6.602499961853027,-0.8808333277702332
2025-02-11T12:30:00,4.69249963760376,5.864999771118164,5.864999771118164,-1.1725000143051147
2025-02-11T12:45:00,4.631666660308838,6.0625,6.0625,-1.430833339691162
2025-02-11T13:00:00,5.797499656677246,6.954999923706055,6.954999923706055,-1.1575000286102295
2025-02-11T13:15:00,6.732500076293945,7.840000152587891,7.840000152587891,-1.1074999570846558
2025-02-11T13:30:00,4.350000381469727,5.380000114440918,5.380000114440918,-1.0299999713897705
2025-02-11T13:45:00,4.168333053588867,4.809999942779541,4.809999942779541,-0.6416666507720947
2025-02-11T14:00:00,3.7100000381469727,4.224999904632568,4.224999904632568,-0.5149999856948853
2025-02-11T14:15:00,5.080833435058594,5.777500152587891,5.777500152587891,-0.6966666579246521
2025-02-11T14:30:00,4.460833549499512,5.082499980926514,5.082499980926514,-0.621666669845581
2025-02-11T14:45:00,4.458333492279053,5.227499961853027,5.227499961853027,-0.7691666483879089
2025-02-11T15:00:00,6.513333320617676,7.28000020980835,7.28000020980835,-0.7666666507720947
2025-02-11T15:15:00,5.385000228881836,6.130000114440918,6.130000114440918,-0.7450000047683716
2025-02-11T15:30:00,5.929999828338623,6.952499866485596,6.952499866485596,-1.0225000381469727
2025-02-11T15:45:00,4.5941667556762695,5.922500133514404,5.922500133514404,-1.3283333778381348
2025-02-11T16:00:00,5.586666584014893,6.482500076293945,6.482500076293945,-0.8958333134651184
2025-02-11T16:15:00,6.5333333015441895,7.34499979019165,7.34499979019165,-0.8116666674613953
2025-02-11T16:30:00,7.441666603088379,8.227499961853027,8.227499961853027,-0.7858333587646484
2025-02-11T16:45:00,6.5,6.90500020980835,6.90500020980835,-0.4050000011920929
2025-02-11T17:00:00,7.37833309173584,7.679999828338623,7.679999828338623,-0.3016666769981384
2025-02-11T17:15:00,7.53249979019165,7.9375,7.9375,-0.4050000011920929
2025-02-11T17:30:00,8.407500267028809,8.77750015258789,8.77750015258789,-0.3700000047683716
2025-02-11T17:45:00,6.355833530426025,6.772500038146973,6.772500038146973,-0.4166666567325592
2025-02-11T18:00:00,6.434999942779541,6.792500019073486,6.792500019073486,-0.35749998688697815
2025-02-11T18:15:00,5.875,6.252500057220459,6.252500057220459,-0.3774999976158142
2025-02-11T18:30:00,7.015833377838135,7.5,7.5,-0.4841666519641876
2025-02-11T18:45:00,6.609166622161865,7.0,7.0,-0.3908333480358124
2025-02-11T19:00:00,5.422500133514404,5.75,5.75,-0.32749998569488525
2025-02-11T19:15:00,5.385000228881836,5.75,5.75,-0.36500000953674316
2025-02-11T19:30:00,5.5908331871032715,6.0,6.0,-0.4091666638851166
2025-02-11T19:45:00,5.614999771118164,5.75,5.75,-0.13500000536441803
2025-02-11T20:00:00,5.190000057220459,5.25,5.25,-0.05999999865889549
2025-02-11T20:15:00,5.4375,5.5,5.5,-0.0625
2025-02-11T20:30:00,4.490833282470703,4.5,4.5,-0.009166666306555271
2025-02-11T20:45:00,3.992500066757202,4.0,4.0,-0.007499999832361937
2025-02-11T21:00:00,3.7358334064483643,3.75,3.75,-0.014166667126119137
2025-02-11T21:15:00,3.49916672706604,3.5,3.5,-0.0008333333535119891
